T,M,D,K,C,Val,DK,DKC
3,2,C2,P3,S1,-998.059601,"C2,P3","C2,P3,S1"
3,2,C2,P3,S4,-998.059601,"C2,P3","C2,P3,S4"
3,2,C2,P3,S6,1.9403990000000002,"C2,P3","C2,P3,S6"
3,3,C1,P3,S1,1.9403990000000002,"C1,P3","C1,P3,S1"
3,3,C1,P3,S4,-998.059601,"C1,P3","C1,P3,S4"
3,3,C1,P3,S6,1.9403990000000002,"C1,P3","C1,P3,S6"
3,3,C2,P3,S1,-998.059601,"C2,P3","C2,P3,S1"
3,3,C2,P3,S4,-998.059601,"C2,P3","C2,P3,S4"
3,3,C2,P3,S6,1.9403990000000002,"C2,P3","C2,P3,S6"
3,4,C1,P3,S1,1.9403990000000002,"C1,P3","C1,P3,S1"
3,4,C1,P3,S4,-998.059601,"C1,P3","C1,P3,S4"
3,4,C1,P3,S6,1.9403990000000002,"C1,P3","C1,P3,S6"
3,4,C2,P3,S1,-998.059601,"C2,P3","C2,P3,S1"
3,4,C2,P3,S4,-998.059601,"C2,P3","C2,P3,S4"
3,4,C2,P3,S6,1.9403990000000002,"C2,P3","C2,P3,S6"
4,0,C1,P3,S1,2.90099501,"C1,P3","C1,P3,S1"
4,0,C1,P3,S4,-997.09900499,"C1,P3","C1,P3,S4"
4,0,C1,P3,S6,2.90099501,"C1,P3","C1,P3,S6"
4,0,C2,P3,S1,-997.09900499,"C2,P3","C2,P3,S1"
4,0,C2,P3,S4,-997.09900499,"C2,P3","C2,P3,S4"
4,0,C2,P3,S6,2.90099501,"C2,P3","C2,P3,S6"
4,1,C1,P3,S1,2.90099501,"C1,P3","C1,P3,S1"
4,1,C1,P3,S4,-997.09900499,"C1,P3","C1,P3,S4"
4,1,C1,P3,S6,2.90099501,"C1,P3","C1,P3,S6"
4,1,C2,P3,S1,-997.09900499,"C2,P3","C2,P3,S1"
4,1,C2,P3,S4,-997.09900499,"C2,P3","C2,P3,S4"
4,1,C2,P3,S6,2.90099501,"C2,P3","C2,P3,S6"
4,2,C1,P3,S1,2.90099501,"C1,P3","C1,P3,S1"
4,2,C1,P3,S4,-997.09900499,"C1,P3","C1,P3,S4"
4,2,C1,P3,S6,2.90099501,"C1,P3","C1,P3,S6"
4,2,C2,P3,S1,-997.09900499,"C2,P3","C2,P3,S1"
4,2,C2,P3,S4,-997.09900499,"C2,P3","C2,P3,S4"
4,2,C2,P3,S6,2.90099501,"C2,P3","C2,P3,S6"
4,3,C1,P3,S1,2.90099501,"C1,P3","C1,P3,S1"
4,3,C1,P3,S4,-997.09900499,"C1,P3","C1,P3,S4"
4,3,C1,P3,S6,2.90099501,"C1,P3","C1,P3,S6"
4,3,C2,P3,S1,-997.09900499,"C2,P3","C2,P3,S1"
4,3,C2,P3,S4,-997.09900499,"C2,P3","C2,P3,S4"
4,3,C2,P3,S6,2.90099501,"C2,P3","C2,P3,S6"
4,4,C1,P3,S1,2.90099501,"C1,P3","C1,P3,S1"
4,4,C1,P3,S4,-997.09900499,"C1,P3","C1,P3,S4"
4,4,C1,P3,S6,2.90099501,"C1,P3","C1,P3,S6"
4,4,C2,P3,S1,-997.09900499,"C2,P3","C2,P3,S1"
4,4,C2,P3,S4,-997.09900499,"C2,P3","C2,P3,S4"
4,4,C2,P3,S6,2.90099501,"C2,P3","C2,P3,S6"
5,0,C1,P3,S1,3.8519850598999996,"C1,P3","C1,P3,S1"
5,0,C1,P3,S4,-996.1480149401,"C1,P3","C1,P3,S4"
5,0,C1,P3,S6,3.8519850598999996,"C1,P3","C1,P3,S6"
5,0,C2,P3,S1,-996.1480149401,"C2,P3","C2,P3,S1"
5,0,C2,P3,S4,-996.1480149401,"C2,P3","C2,P3,S4"
5,0,C2,P3,S6,3.8519850598999996,"C2,P3","C2,P3,S6"
5,1,C1,P3,S1,3.8519850598999996,"C1,P3","C1,P3,S1"
5,1,C1,P3,S4,-996.1480149401,"C1,P3","C1,P3,S4"
5,1,C1,P3,S6,3.8519850598999996,"C1,P3","C1,P3,S6"
5,1,C2,P3,S1,-996.1480149401,"C2,P3","C2,P3,S1"
5,1,C2,P3,S4,-996.1480149401,"C2,P3","C2,P3,S4"
5,1,C2,P3,S6,3.8519850598999996,"C2,P3","C2,P3,S6"
5,2,C1,P3,S1,3.8519850598999996,"C1,P3","C1,P3,S1"
5,2,C1,P3,S4,-996.1480149401,"C1,P3","C1,P3,S4"
5,2,C1,P3,S6,3.8519850598999996,"C1,P3","C1,P3,S6"
5,2,C2,P3,S1,-996.1480149401,"C2,P3","C2,P3,S1"
5,2,C2,P3,S4,-996.1480149401,"C2,P3","C2,P3,S4"
5,2,C2,P3,S6,3.8519850598999996,"C2,P3","C2,P3,S6"
5,3,C1,P3,S1,3.8519850598999996,"C1,P3","C1,P3,S1"
5,3,C1,P3,S4,-996.1480149401,"C1,P3","C1,P3,S4"
5,3,C1,P3,S6,3.8519850598999996,"C1,P3","C1,P3,S6"
5,3,C2,P3,S1,-996.1480149401,"C2,P3","C2,P3,S1"
5,3,C2,P3,S4,-996.1480149401,"C2,P3","C2,P3,S4"
5,3,C2,P3,S6,3.8519850598999996,"C2,P3","C2,P3,S6"
5,4,C1,P3,S1,3.8519850598999996,"C1,P3","C1,P3,S1"
5,4,C1,P3,S4,-996.1480149401,"C1,P3","C1,P3,S4"
5,4,C1,P3,S6,3.8519850598999996,"C1,P3","C1,P3,S6"
5,4,C2,P3,S1,-996.1480149401,"C2,P3","C2,P3,S1"
5,4,C2,P3,S4,-996.1480149401,"C2,P3","C2,P3,S4"
5,4,C2,P3,S6,3.8519850598999996,"C2,P3","C2,P3,S6"
6,0,C1,P3,S1,4.793465209301,"C1,P3","C1,P3,S1"
6,0,C1,P3,S4,-995.206534790699,"C1,P3","C1,P3,S4"
6,0,C1,P3,S6,4.793465209301,"C1,P3","C1,P3,S6"
6,0,C2,P3,S1,-995.206534790699,"C2,P3","C2,P3,S1"
6,0,C2,P3,S4,-995.206534790699,"C2,P3","C2,P3,S4"
6,0,C2,P3,S6,4.793465209301,"C2,P3","C2,P3,S6"
6,1,C1,P3,S1,4.793465209301,"C1,P3","C1,P3,S1"
6,1,C1,P3,S4,-995.206534790699,"C1,P3","C1,P3,S4"
