T,M,D,K,C,Val,DK,DKC
3,2,C1,P3,S4,-948.8248518933055,"C1,P3","C1,P3,S4"
3,2,C1,P3,S6,15.99763727301949,"C1,P3","C1,P3,S6"
3,2,C2,P3,S1,-949.138645812478,"C2,P3","C2,P3,S1"
3,2,C2,P3,S4,-934.1742637374693,"C2,P3","C2,P3,S4"
3,2,C2,P3,S6,25.896972112513282,"C2,P3","C2,P3,S6"
3,3,C1,P3,S1,30.913365273747026,"C1,P3","C1,P3,S1"
3,3,C1,P3,S4,-948.8974946288118,"C1,P3","C1,P3,S4"
3,3,C1,P3,S6,15.950764094987532,"C1,P3","C1,P3,S6"
3,3,C2,P3,S1,-949.138645812478,"C2,P3","C2,P3,S1"
3,3,C2,P3,S4,-934.1742637374692,"C2,P3","C2,P3,S4"
3,3,C2,P3,S6,25.896972112512525,"C2,P3","C2,P3,S6"
3,4,C1,P3,S1,30.913365273747026,"C1,P3","C1,P3,S1"
3,4,C1,P3,S4,-948.8974946288118,"C1,P3","C1,P3,S4"
3,4,C1,P3,S6,15.950764094987532,"C1,P3","C1,P3,S6"
3,4,C2,P3,S1,-949.138645812478,"C2,P3","C2,P3,S1"
3,4,C2,P3,S4,-934.1742637374692,"C2,P3","C2,P3,S4"
3,4,C2,P3,S6,25.896972112512525,"C2,P3","C2,P3,S6"
4,0,C1,P3,S1,31.93941766891915,"C1,P3","C1,P3,S1"
4,0,C1,P3,S4,-947.6029307294381,"C1,P3","C1,P3,S4"
4,0,C1,P3,S6,17.010297339651338,"C1,P3","C1,P3,S6"
4,0,C2,P3,S1,-948.2662041668312,"C2,P3","C2,P3,S1"
4,0,C2,P3,S4,-933.3370838375643,"C2,P3","C2,P3,S4"
4,0,C2,P3,S6,26.80467550390115,"C2,P3","C2,P3,S6"
4,1,C1,P3,S1,31.929136577131374,"C1,P3","C1,P3,S1"
4,1,C1,P3,S4,-947.6763460402502,"C1,P3","C1,P3,S4"
4,1,C1,P3,S6,17.000016247863716,"C1,P3","C1,P3,S6"
4,1,C2,P3,S1,-948.2662041668311,"C2,P3","C2,P3,S1"
4,1,C2,P3,S4,-933.3370838375635,"C2,P3","C2,P3,S4"
4,1,C2,P3,S6,26.80467550390143,"C2,P3","C2,P3,S6"
4,2,C1,P3,S1,31.929136577131477,"C1,P3","C1,P3,S1"
4,2,C1,P3,S4,-947.67634604025,"C1,P3","C1,P3,S4"
4,2,C1,P3,S6,17.00001624786382,"C1,P3","C1,P3,S6"
4,2,C2,P3,S1,-948.2662041668312,"C2,P3","C2,P3,S1"
4,2,C2,P3,S4,-933.3370838375643,"C2,P3","C2,P3,S4"
4,2,C2,P3,S6,26.804675503901453,"C2,P3","C2,P3,S6"
4,3,C1,P3,S1,31.881057710077354,"C1,P3","C1,P3,S1"
4,3,C1,P3,S4,-947.726738614194,"C1,P3","C1,P3,S4"
4,3,C1,P3,S6,16.955481364346323,"C1,P3","C1,P3,S6"
4,3,C2,P3,S1,-948.2662041668311,"C2,P3","C2,P3,S1"
4,3,C2,P3,S4,-933.3370838375638,"C2,P3","C2,P3,S4"
4,3,C2,P3,S6,26.80467550390062,"C2,P3","C2,P3,S6"
4,4,C1,P3,S1,31.881057710077354,"C1,P3","C1,P3,S1"
4,4,C1,P3,S4,-947.726738614194,"C1,P3","C1,P3,S4"
4,4,C1,P3,S6,16.955481364346323,"C1,P3","C1,P3,S6"
4,4,C2,P3,S1,-948.2662041668311,"C2,P3","C2,P3,S1"
4,4,C2,P3,S4,-933.3370838375638,"C2,P3","C2,P3,S4"
4,4,C2,P3,S6,26.80467550390062,"C2,P3","C2,P3,S6"
5,0,C1,P3,S1,32.8968637257309,"C1,P3","C1,P3,S1"
5,0,C1,P3,S4,-946.4659099349128,"C1,P3","C1,P3,S4"
5,0,C1,P3,S6,18.00265252474705,"C1,P3","C1,P3,S6"
5,0,C2,P3,S1,-947.4024869376415,"C2,P3","C2,P3,S1"
5,0,C2,P3,S4,-932.5082757366575,"C2,P3","C2,P3,S4"
5,0,C2,P3,S6,27.703301861375635,"C2,P3","C2,P3,S6"
5,1,C1,P3,S1,32.881896192562394,"C1,P3","C1,P3,S1"
5,1,C1,P3,S4,-946.5701465150871,"C1,P3","C1,P3,S4"
5,1,C1,P3,S6,17.987684991578533,"C1,P3","C1,P3,S6"
5,1,C2,P3,S1,-947.4024869376411,"C2,P3","C2,P3,S1"
5,1,C2,P3,S4,-932.5082757366584,"C2,P3","C2,P3,S4"
5,1,C2,P3,S6,27.70330186137557,"C2,P3","C2,P3,S6"
5,2,C1,P3,S1,32.88189619256232,"C1,P3","C1,P3,S1"
5,2,C1,P3,S4,-946.5701465150876,"C1,P3","C1,P3,S4"
5,2,C1,P3,S6,17.98768499157861,"C1,P3","C1,P3,S6"
5,2,C2,P3,S1,-947.4024869376409,"C2,P3","C2,P3,S1"
5,2,C2,P3,S4,-932.5082757366575,"C2,P3","C2,P3,S4"
5,2,C2,P3,S6,27.703301861375618,"C2,P3","C2,P3,S6"
5,3,C1,P3,S1,32.83414012585428,"C1,P3","C1,P3,S1"
5,3,C1,P3,S4,-946.601936014569,"C1,P3","C1,P3,S4"
5,3,C1,P3,S6,17.94521836482084,"C1,P3","C1,P3,S6"
5,3,C2,P3,S1,-947.402486937641,"C2,P3","C2,P3,S1"
5,3,C2,P3,S4,-932.5082757366573,"C2,P3","C2,P3,S4"
5,3,C2,P3,S6,27.70330186137481,"C2,P3","C2,P3,S6"
5,4,C1,P3,S1,32.83414012585428,"C1,P3","C1,P3,S1"
5,4,C1,P3,S4,-946.601936014569,"C1,P3","C1,P3,S4"
5,4,C1,P3,S6,17.94521836482084,"C1,P3","C1,P3,S6"
5,4,C2,P3,S1,-947.402486937641,"C2,P3","C2,P3,S1"
5,4,C2,P3,S4,-932.5082757366573,"C2,P3","C2,P3,S4"
5,4,C2,P3,S6,27.70330186137481,"C2,P3","C2,P3,S6"
6,0,C1,P3,S1,33.84009574500765,"C1,P3","C1,P3,S1"
6,0,C1,P3,S4,-945.3707724050014,"C1,P3","C1,P3,S4"
6,0,C1,P3,S6,18.980444581024756,"C1,P3","C1,P3,S6"
6,0,C2,P3,S1,-946.5474068807426,"C2,P3","C2,P3,S1"
6,0,C2,P3,S4,-931.687755716761,"C2,P3","C2,P3,S4"
6,0,C2,P3,S6,28.59294195527505,"C2,P3","C2,P3,S6"
6,1,C1,P3,S1,33.82072061371985,"C1,P3","C1,P3,S1"
6,1,C1,P3,S4,-945.5024707361767,"C1,P3","C1,P3,S4"
6,1,C1,P3,S6,18.961069449737337,"C1,P3","C1,P3,S6"
6,1,C2,P3,S1,-946.5474068807424,"C2,P3","C2,P3,S1"
6,1,C2,P3,S4,-931.6877557167602,"C2,P3","C2,P3,S4"
6,1,C2,P3,S6,28.592941955274945,"C2,P3","C2,P3,S6"
6,2,C1,P3,S1,33.82072061372013,"C1,P3","C1,P3,S1"
6,2,C1,P3,S4,-945.5024707361777,"C1,P3","C1,P3,S4"
6,2,C1,P3,S6,18.961069449737295,"C1,P3","C1,P3,S6"
6,2,C2,P3,S1,-946.5474068807431,"C2,P3","C2,P3,S1"
6,2,C2,P3,S4,-931.6877557167602,"C2,P3","C2,P3,S4"
6,2,C2,P3,S6,28.592941955274984,"C2,P3","C2,P3,S6"
6,3,C1,P3,S1,33.77305214050548,"C1,P3","C1,P3,S1"
6,3,C1,P3,S4,-945.5188944976084,"C1,P3","C1,P3,S4"
6,3,C1,P3,S6,18.920418418323436,"C1,P3","C1,P3,S6"
6,3,C2,P3,S1,-946.5474068807425,"C2,P3","C2,P3,S1"
6,3,C2,P3,S4,-931.6877557167604,"C2,P3","C2,P3,S4"
6,3,C2,P3,S6,28.592941955274334,"C2,P3","C2,P3,S6"
6,4,C1,P3,S1,33.77305214050548,"C1,P3","C1,P3,S1"
6,4,C1,P3,S4,-945.5188944976084,"C1,P3","C1,P3,S4"
6,4,C1,P3,S6,18.920418418323436,"C1,P3","C1,P3,S6"
6,4,C2,P3,S1,-946.5474068807425,"C2,P3","C2,P3,S1"
6,4,C2,P3,S4,-931.6877557167604,"C2,P3","C2,P3,S4"
6,4,C2,P3,S6,28.592941955274334,"C2,P3","C2,P3,S6"
7,0,C1,P3,S1,34.76953192195325,"C1,P3","C1,P3,S1"
7,0,C1,P3,S4,-945.1164545026925,"C1,P3","C1,P3,S4"
7,0,C1,P3,S6,19.88354549730799,"C1,P3","C1,P3,S6"
7,0,C2,P3,S1,-945.7008776244128,"C2,P3","C2,P3,S1"
7,0,C2,P3,S4,-930.8754408970611,"C2,P3","C2,P3,S4"
7,0,C2,P3,S6,29.473685648235385,"C2,P3","C2,P3,S6"
7,1,C1,P3,S1,34.7460114446354,"C1,P3","C1,P3,S1"
7,1,C1,P3,S4,-945.1923531421294,"C1,P3","C1,P3,S4"
7,1,C1,P3,S6,19.86305250485432,"C1,P3","C1,P3,S6"
7,1,C2,P3,S1,-945.7008776244146,"C2,P3","C2,P3,S1"
7,1,C2,P3,S4,-930.875440897061,"C2,P3","C2,P3,S4"
7,1,C2,P3,S6,29.473685648234948,"C2,P3","C2,P3,S6"
7,2,C1,P3,S1,34.74601144463489,"C1,P3","C1,P3,S1"
7,2,C1,P3,S4,-945.1923531421293,"C1,P3","C1,P3,S4"
7,2,C1,P3,S6,19.86305250485436,"C1,P3","C1,P3,S6"
7,2,C2,P3,S1,-945.7008776244136,"C2,P3","C2,P3,S1"
7,2,C2,P3,S4,-930.8754408970617,"C2,P3","C2,P3,S4"
7,2,C2,P3,S6,29.47368564823536,"C2,P3","C2,P3,S6"
7,3,C1,P3,S1,34.69821151287241,"C1,P3","C1,P3,S1"
7,3,C1,P3,S4,-945.276551648119,"C1,P3","C1,P3,S4"
7,3,C1,P3,S6,19.82095325185928,"C1,P3","C1,P3,S6"
7,3,C2,P3,S1,-945.7008776244139,"C2,P3","C2,P3,S1"
7,3,C2,P3,S4,-930.8754408970617,"C2,P3","C2,P3,S4"
7,3,C2,P3,S6,29.473685648234785,"C2,P3","C2,P3,S6"
7,4,C1,P3,S1,34.69821151287241,"C1,P3","C1,P3,S1"
7,4,C1,P3,S4,-945.276551648119,"C1,P3","C1,P3,S4"
7,4,C1,P3,S6,19.82095325185928,"C1,P3","C1,P3,S6"
7,4,C2,P3,S1,-945.7008776244139,"C2,P3","C2,P3,S1"
7,4,C2,P3,S4,-930.8754408970617,"C2,P3","C2,P3,S4"
7,4,C2,P3,S6,29.473685648234785,"C2,P3","C2,P3,S6"
8,0,C1,P3,S1,34.86481004233494,"C1,P3","C1,P3,S1"
8,0,C1,P3,S4,-945.1351899576649,"C1,P3","C1,P3,S4"
8,0,C1,P3,S6,19.864810042334884,"C1,P3","C1,P3,S6"
8,0,C2,P3,S1,-945.1351899576649,"C2,P3","C2,P3,S1"
8,0,C2,P3,S4,-930.1351899576655,"C2,P3","C2,P3,S4"
8,0,C2,P3,S6,29.86481004233478,"C2,P3","C2,P3,S6"
8,1,C1,P3,S1,34.86481004233493,"C1,P3","C1,P3,S1"
8,1,C1,P3,S4,-945.1351899576648,"C1,P3","C1,P3,S4"
8,1,C1,P3,S6,19.864810042334696,"C1,P3","C1,P3,S6"
8,1,C2,P3,S1,-945.1351899576639,"C2,P3","C2,P3,S1"
8,1,C2,P3,S4,-930.1351899576656,"C2,P3","C2,P3,S4"
8,1,C2,P3,S6,29.864810042334838,"C2,P3","C2,P3,S6"
8,2,C1,P3,S1,34.86481004233489,"C1,P3","C1,P3,S1"
8,2,C1,P3,S4,-945.1351899576649,"C1,P3","C1,P3,S4"
8,2,C1,P3,S6,19.864810042334828,"C1,P3","C1,P3,S6"
8,2,C2,P3,S1,-945.1351899576654,"C2,P3","C2,P3,S1"
8,2,C2,P3,S4,-930.135189957665,"C2,P3","C2,P3,S4"
8,2,C2,P3,S6,29.864810042335233,"C2,P3","C2,P3,S6"
8,3,C1,P3,S1,34.77563678186982,"C1,P3","C1,P3,S1"
8,3,C1,P3,S4,-945.3135364785953,"C1,P3","C1,P3,S4"
8,3,C1,P3,S6,19.775636781869864,"C1,P3","C1,P3,S6"
8,3,C2,P3,S1,-945.1351899576654,"C2,P3","C2,P3,S1"
8,3,C2,P3,S4,-930.1351899576657,"C2,P3","C2,P3,S4"
8,3,C2,P3,S6,29.864810042334092,"C2,P3","C2,P3,S6"
8,4,C1,P3,S1,34.77563678186982,"C1,P3","C1,P3,S1"
8,4,C1,P3,S4,-945.3135364785953,"C1,P3","C1,P3,S4"
8,4,C1,P3,S6,19.775636781869864,"C1,P3","C1,P3,S6"
8,4,C2,P3,S1,-945.1351899576654,"C2,P3","C2,P3,S1"
8,4,C2,P3,S4,-930.1351899576657,"C2,P3","C2,P3,S4"
8,4,C2,P3,S6,29.864810042334092,"C2,P3","C2,P3,S6"
9,0,C1,P3,S1,34.846261941911564,"C1,P3","C1,P3,S1"
9,0,C1,P3,S4,-945.1537380580886,"C1,P3","C1,P3,S4"
9,0,C1,P3,S6,19.846261941911393,"C1,P3","C1,P3,S6"
9,0,C2,P3,S1,-945.1537380580883,"C2,P3","C2,P3,S1"
9,0,C2,P3,S4,-930.1537380580875,"C2,P3","C2,P3,S4"
9,0,C2,P3,S6,29.846261941910377,"C2,P3","C2,P3,S6"
9,1,C1,P3,S1,34.84626194191144,"C1,P3","C1,P3,S1"
9,1,C1,P3,S4,-945.1537380580882,"C1,P3","C1,P3,S4"
9,1,C1,P3,S6,19.846261941911507,"C1,P3","C1,P3,S6"
9,1,C2,P3,S1,-945.1537380580886,"C2,P3","C2,P3,S1"
9,1,C2,P3,S4,-930.1537380580885,"C2,P3","C2,P3,S4"
9,1,C2,P3,S6,29.846261941911823,"C2,P3","C2,P3,S6"
9,2,C1,P3,S1,34.84626194191148,"C1,P3","C1,P3,S1"
9,2,C1,P3,S4,-945.1537380580885,"C1,P3","C1,P3,S4"
9,2,C1,P3,S6,19.84626194191155,"C1,P3","C1,P3,S6"
9,2,C2,P3,S1,-945.1537380580883,"C2,P3","C2,P3,S1"
9,2,C2,P3,S4,-930.1537380580875,"C2,P3","C2,P3,S4"
9,2,C2,P3,S6,29.846261941911862,"C2,P3","C2,P3,S6"
9,3,C1,P3,S1,34.71048541405114,"C1,P3","C1,P3,S1"
9,3,C1,P3,S4,-945.4252911138092,"C1,P3","C1,P3,S4"
9,3,C1,P3,S6,19.710485414051103,"C1,P3","C1,P3,S6"
9,3,C2,P3,S1,-945.1537380580883,"C2,P3","C2,P3,S1"
9,3,C2,P3,S4,-930.1537380580886,"C2,P3","C2,P3,S4"
9,3,C2,P3,S6,29.846261941910846,"C2,P3","C2,P3,S6"
9,4,C1,P3,S1,34.71048541405114,"C1,P3","C1,P3,S1"
9,4,C1,P3,S4,-945.4252911138092,"C1,P3","C1,P3,S4"
9,4,C1,P3,S6,19.710485414051103,"C1,P3","C1,P3,S6"
9,4,C2,P3,S1,-945.1537380580883,"C2,P3","C2,P3,S1"
9,4,C2,P3,S4,-930.1537380580886,"C2,P3","C2,P3,S4"
9,4,C2,P3,S6,29.846261941910846,"C2,P3","C2,P3,S6"
10,0,C1,P3,S1,34.82789932249247,"C1,P3","C1,P3,S1"
10,0,C1,P3,S4,-945.1721006775077,"C1,P3","C1,P3,S4"
10,0,C1,P3,S6,19.82789932249139,"C1,P3","C1,P3,S6"
10,0,C2,P3,S1,-945.1721006775077,"C2,P3","C2,P3,S1"
10,0,C2,P3,S4,-930.1721006775066,"C2,P3","C2,P3,S4"
10,0,C2,P3,S6,29.82789932249258,"C2,P3","C2,P3,S6"
10,1,C1,P3,S1,34.82789932249252,"C1,P3","C1,P3,S1"
10,1,C1,P3,S4,-945.1721006775076,"C1,P3","C1,P3,S4"
10,1,C1,P3,S6,19.82789932249245,"C1,P3","C1,P3,S6"
10,1,C2,P3,S1,-945.1721006775064,"C2,P3","C2,P3,S1"
10,1,C2,P3,S4,-930.1721006775066,"C2,P3","C2,P3,S4"
10,1,C2,P3,S6,29.82789932249245,"C2,P3","C2,P3,S6"
10,2,C1,P3,S1,34.82789932249253,"C1,P3","C1,P3,S1"
10,2,C1,P3,S4,-945.1721006775076,"C1,P3","C1,P3,S4"
10,2,C1,P3,S6,19.8278993224925,"C1,P3","C1,P3,S6"
10,2,C2,P3,S1,-945.1721006775065,"C2,P3","C2,P3,S1"
10,2,C2,P3,S4,-930.172100677507,"C2,P3","C2,P3,S4"
10,2,C2,P3,S6,29.827899322492453,"C2,P3","C2,P3,S6"
10,3,C1,P3,S1,34.64598555991058,"C1,P3","C1,P3,S1"
10,3,C1,P3,S4,-945.535928202671,"C1,P3","C1,P3,S4"
10,3,C1,P3,S6,19.645985559910592,"C1,P3","C1,P3,S6"
10,3,C2,P3,S1,-945.1721006775083,"C2,P3","C2,P3,S1"
10,3,C2,P3,S4,-930.1721006775064,"C2,P3","C2,P3,S4"
10,3,C2,P3,S6,29.8278993224917,"C2,P3","C2,P3,S6"
10,4,C1,P3,S1,34.64598555991058,"C1,P3","C1,P3,S1"
10,4,C1,P3,S4,-945.535928202671,"C1,P3","C1,P3,S4"
10,4,C1,P3,S6,19.645985559910592,"C1,P3","C1,P3,S6"
10,4,C2,P3,S1,-945.1721006775083,"C2,P3","C2,P3,S1"
10,4,C2,P3,S4,-930.1721006775064,"C2,P3","C2,P3,S4"
10,4,C2,P3,S6,29.8278993224917,"C2,P3","C2,P3,S6"
