T,M,D,K,C,Val,DK,DKC
3,1,C1,P3,S1,31.940399,"C1,P3","C1,P3,S1"
3,1,C1,P3,S4,-948.059601,"C1,P3","C1,P3,S4"
3,1,C1,P3,S6,16.940399,"C1,P3","C1,P3,S6"
3,1,C2,P3,S1,-948.059601,"C2,P3","C2,P3,S1"
3,1,C2,P3,S4,-933.059601,"C2,P3","C2,P3,S4"
3,1,C2,P3,S6,26.940399,"C2,P3","C2,P3,S6"
3,2,C1,P3,S1,31.940399,"C1,P3","C1,P3,S1"
3,2,C1,P3,S4,-948.059601,"C1,P3","C1,P3,S4"
3,2,C1,P3,S6,16.940399,"C1,P3","C1,P3,S6"
3,2,C2,P3,S1,-948.059601,"C2,P3","C2,P3,S1"
3,2,C2,P3,S4,-933.059601,"C2,P3","C2,P3,S4"
3,2,C2,P3,S6,26.940399,"C2,P3","C2,P3,S6"
3,3,C1,P3,S1,31.940399,"C1,P3","C1,P3,S1"
3,3,C1,P3,S4,-948.059601,"C1,P3","C1,P3,S4"
3,3,C1,P3,S6,16.940399,"C1,P3","C1,P3,S6"
3,3,C2,P3,S1,-948.059601,"C2,P3","C2,P3,S1"
3,3,C2,P3,S4,-933.059601,"C2,P3","C2,P3,S4"
3,3,C2,P3,S6,26.940399,"C2,P3","C2,P3,S6"
3,4,C1,P3,S1,31.940399,"C1,P3","C1,P3,S1"
3,4,C1,P3,S4,-948.059601,"C1,P3","C1,P3,S4"
3,4,C1,P3,S6,16.940399,"C1,P3","C1,P3,S6"
3,4,C2,P3,S1,-948.059601,"C2,P3","C2,P3,S1"
3,4,C2,P3,S4,-933.059601,"C2,P3","C2,P3,S4"
3,4,C2,P3,S6,26.940399,"C2,P3","C2,P3,S6"
4,0,C1,P3,S1,32.90099501,"C1,P3","C1,P3,S1"
4,0,C1,P3,S4,-947.09900499,"C1,P3","C1,P3,S4"
4,0,C1,P3,S6,17.90099501,"C1,P3","C1,P3,S6"
4,0,C2,P3,S1,-947.09900499,"C2,P3","C2,P3,S1"
4,0,C2,P3,S4,-932.09900499,"C2,P3","C2,P3,S4"
4,0,C2,P3,S6,27.90099501,"C2,P3","C2,P3,S6"
