T,M,D,K,C,Val,Usage,Val_Adj
4,4,C1,P3,S1,4.183416686063014,0.26666666666666666,15.687812572736302
4,4,C1,P3,S4,-75.82034470677925,1.0222222222222221,-74.1720763435884
4,4,C1,P3,S6,-33.62090158581507,0.13333333333333333,-252.156761893613
4,4,C2,P3,S1,35.70508997126027,1.0222222222222221,34.9288923631894
4,4,C2,P3,S4,-35.38542765378202,1.1555555555555554,-30.62200470038829
4,4,C2,P3,S6,19.059872287005245,0.2222222222222222,85.7694252915236
5,0,C1,P3,S1,3.298162187499999,0.26666666666666666,12.368108203124997
5,0,C1,P3,S4,3.298162187499999,1.0222222222222221,3.226463009510869
5,0,C1,P3,S6,3.298162187499999,0.13333333333333333,24.736216406249994
5,0,C2,P3,S1,3.298162187499999,1.0222222222222221,3.226463009510869
5,0,C2,P3,S4,3.298162187499999,1.1555555555555554,2.854178816105769
5,0,C2,P3,S6,3.298162187499999,0.2222222222222222,14.841729843749997
5,1,C1,P3,S1,3.298162187499999,0.26666666666666666,12.368108203124997
5,1,C1,P3,S4,-53.734162341755805,1.0222222222222221,-52.5660283778046
5,1,C1,P3,S6,4.0466755280386115,0.13333333333333333,30.350066460289586
5,1,C2,P3,S1,3.298162187499999,1.0222222222222221,3.226463009510869
5,1,C2,P3,S4,3.298162187499999,1.1555555555555554,2.854178816105769
5,1,C2,P3,S6,18.268428998272242,0.2222222222222222,82.20793049222509
5,2,C1,P3,S1,3.298162187499999,0.26666666666666666,12.368108203124997
5,2,C1,P3,S4,-37.94400447134398,1.0222222222222221,-37.11913480892346
5,2,C1,P3,S6,4.004415846475077,0.13333333333333333,30.03311884856308
5,2,C2,P3,S1,3.298162187499999,1.0222222222222221,3.226463009510869
5,2,C2,P3,S4,73.09229266085163,1.1555555555555554,63.252945571890834
5,2,C2,P3,S6,17.423235367001567,0.2222222222222222,78.40455915150706
5,3,C1,P3,S1,26.461500549004796,0.26666666666666666,99.230627058768
5,3,C1,P3,S4,5.646634340831946,1.0222222222222221,5.5238814203790785
5,3,C1,P3,S6,-33.098100576972875,0.13333333333333333,-248.23575432729658
5,3,C2,P3,S1,47.80992378524461,1.0222222222222221,46.77057761600016
5,3,C2,P3,S4,24.968974264916874,1.1555555555555554,21.607766190793452
5,3,C2,P3,S6,14.814054651349215,0.2222222222222222,66.66324593107147
5,4,C1,P3,S1,26.461500549004796,0.26666666666666666,99.230627058768
5,4,C1,P3,S4,5.646634340831946,1.0222222222222221,5.5238814203790785
5,4,C1,P3,S6,-33.098100576972875,0.13333333333333333,-248.23575432729658
5,4,C2,P3,S1,47.80992378524461,1.0222222222222221,46.77057761600016
5,4,C2,P3,S4,24.968974264916874,1.1555555555555554,21.607766190793452
5,4,C2,P3,S6,14.814054651349215,0.2222222222222222,66.66324593107147
6,0,C1,P3,S1,21.331520510516732,0.26666666666666666,79.99320191443775
6,0,C1,P3,S4,4.033254078124999,1.0222222222222221,3.945574641644021
6,0,C1,P3,S6,4.033254078124999,0.13333333333333333,30.249405585937495
6,0,C2,P3,S1,4.033254078124999,1.0222222222222221,3.945574641644021
6,0,C2,P3,S4,4.033254078124999,1.1555555555555554,3.4903160291466344
6,0,C2,P3,S6,4.033254078124999,0.2222222222222222,18.1496433515625
6,1,C1,P3,S1,4.033254078124999,0.26666666666666666,15.124702792968748
6,1,C1,P3,S4,-49.52446852649794,1.0222222222222221,-48.44784964548712
6,1,C1,P3,S6,5.258916391840286,0.13333333333333333,39.44187293880214
6,1,C2,P3,S1,4.033254078124999,1.0222222222222221,3.945574641644021
6,1,C2,P3,S4,38.77927332445361,1.1555555555555554,33.55898653077717
6,1,C2,P3,S6,28.546500352430733,0.2222222222222222,128.45925158593832
6,2,C1,P3,S1,46.92293660138513,0.26666666666666666,175.96101225519425
6,2,C1,P3,S4,-44.188325628054145,1.0222222222222221,-43.22770985353123
6,2,C1,P3,S6,5.449043380045413,0.13333333333333333,40.8678253503406
6,2,C2,P3,S1,4.033254078124999,1.0222222222222221,3.945574641644021
6,2,C2,P3,S4,4.033254078124999,1.1555555555555554,3.4903160291466344
6,2,C2,P3,S6,32.34904011653329,0.2222222222222222,145.57068052439982
6,3,C1,P3,S1,6.2069955801641346,0.26666666666666666,23.276233425615505
6,3,C1,P3,S4,-66.26714255508162,1.0222222222222221,-64.82655249953638
6,3,C1,P3,S6,-32.93880330954033,0.13333333333333333,-247.0410248215525
6,3,C2,P3,S1,4.033254078124999,1.0222222222222221,3.945574641644021
6,3,C2,P3,S4,46.56673841006933,1.1555555555555554,40.29813900871385
6,3,C2,P3,S6,4.033254078124999,0.2222222222222222,18.1496433515625
6,4,C1,P3,S1,6.2069955801641346,0.26666666666666666,23.276233425615505
6,4,C1,P3,S4,-66.26714255508162,1.0222222222222221,-64.82655249953638
6,4,C1,P3,S6,-32.93880330954033,0.13333333333333333,-247.0410248215525
6,4,C2,P3,S1,4.033254078124999,1.0222222222222221,3.945574641644021
6,4,C2,P3,S4,46.56673841006933,1.1555555555555554,40.29813900871385
6,4,C2,P3,S6,4.033254078124999,0.2222222222222222,18.1496433515625
7,0,C1,P3,S1,4.731591374218749,0.26666666666666666,17.74346765332031
