T,M,D,K,C,Val,Usage,Val_Adj
1,0,C1,P3,S1,-8.05,0.26666666666666666,-30.187500000000004
1,0,C1,P3,S4,-8.05,1.0222222222222221,-7.875000000000001
1,0,C1,P3,S6,-8.05,0.13333333333333333,-60.37500000000001
1,0,C2,P3,S1,-8.05,1.0222222222222221,-7.875000000000001
1,0,C2,P3,S4,-8.05,1.1555555555555554,-6.966346153846155
1,0,C2,P3,S6,-8.05,0.2222222222222222,-36.22500000000001
1,1,C1,P3,S1,-8.05,0.26666666666666666,-30.187500000000004
1,1,C1,P3,S4,-8.05,1.0222222222222221,-7.875000000000001
1,1,C1,P3,S6,-8.05,0.13333333333333333,-60.37500000000001
1,1,C2,P3,S1,-8.05,1.0222222222222221,-7.875000000000001
1,1,C2,P3,S4,-8.05,1.1555555555555554,-6.966346153846155
1,1,C2,P3,S6,-8.05,0.2222222222222222,-36.22500000000001
1,2,C1,P3,S1,-8.05,0.26666666666666666,-30.187500000000004
1,2,C1,P3,S4,-8.05,1.0222222222222221,-7.875000000000001
1,2,C1,P3,S6,-8.05,0.13333333333333333,-60.37500000000001
1,2,C2,P3,S1,-8.05,1.0222222222222221,-7.875000000000001
1,2,C2,P3,S4,-8.05,1.1555555555555554,-6.966346153846155
1,2,C2,P3,S6,-8.05,0.2222222222222222,-36.22500000000001
1,3,C1,P3,S1,-8.05,0.26666666666666666,-30.187500000000004
1,3,C1,P3,S4,-8.05,1.0222222222222221,-7.875000000000001
1,3,C1,P3,S6,-8.05,0.13333333333333333,-60.37500000000001
1,3,C2,P3,S1,-8.05,1.0222222222222221,-7.875000000000001
1,3,C2,P3,S4,-8.05,1.1555555555555554,-6.966346153846155
1,3,C2,P3,S6,-8.05,0.2222222222222222,-36.22500000000001
1,4,C1,P3,S1,-8.05,0.26666666666666666,-30.187500000000004
1,4,C1,P3,S4,-8.05,1.0222222222222221,-7.875000000000001
1,4,C1,P3,S6,-8.05,0.13333333333333333,-60.37500000000001
1,4,C2,P3,S1,-8.05,1.0222222222222221,-7.875000000000001
1,4,C2,P3,S4,-8.05,1.1555555555555554,-6.966346153846155
1,4,C2,P3,S6,-8.05,0.2222222222222222,-36.22500000000001
2,0,C1,P3,S1,-7.1475,0.26666666666666666,-26.803125
2,0,C1,P3,S4,-7.1475,1.0222222222222221,-6.992119565217392
2,0,C1,P3,S6,-7.1475,0.13333333333333333,-53.60625
2,0,C2,P3,S1,-7.1475,1.0222222222222221,-6.992119565217392
2,0,C2,P3,S4,-7.1475,1.1555555555555554,-6.185336538461539
2,0,C2,P3,S6,-7.1475,0.2222222222222222,-32.16375
2,1,C1,P3,S1,-7.1475,0.26666666666666666,-26.803125
2,1,C1,P3,S4,-7.1475,1.0222222222222221,-6.992119565217392
2,1,C1,P3,S6,-7.1475,0.13333333333333333,-53.60625
2,1,C2,P3,S1,-7.1475,1.0222222222222221,-6.992119565217392
2,1,C2,P3,S4,-7.1475,1.1555555555555554,-6.185336538461539
2,1,C2,P3,S6,-7.1475,0.2222222222222222,-32.16375
2,2,C1,P3,S1,-7.1475,0.26666666666666666,-26.803125
2,2,C1,P3,S4,-7.1475,1.0222222222222221,-6.992119565217392
2,2,C1,P3,S6,-7.1475,0.13333333333333333,-53.60625
2,2,C2,P3,S1,-7.1475,1.0222222222222221,-6.992119565217392
2,2,C2,P3,S4,-7.1475,1.1555555555555554,-6.185336538461539
2,2,C2,P3,S6,-7.1475,0.2222222222222222,-32.16375
2,3,C1,P3,S1,-7.1475,0.26666666666666666,-26.803125
2,3,C1,P3,S4,-7.1475,1.0222222222222221,-6.992119565217392
2,3,C1,P3,S6,-7.1475,0.13333333333333333,-53.60625
2,3,C2,P3,S1,-7.1475,1.0222222222222221,-6.992119565217392
2,3,C2,P3,S4,-7.1475,1.1555555555555554,-6.185336538461539
2,3,C2,P3,S6,-7.1475,0.2222222222222222,-32.16375
2,4,C1,P3,S1,-7.1475,0.26666666666666666,-26.803125
2,4,C1,P3,S4,-7.1475,1.0222222222222221,-6.992119565217392
2,4,C1,P3,S6,-7.1475,0.13333333333333333,-53.60625
2,4,C2,P3,S1,-7.1475,1.0222222222222221,-6.992119565217392
2,4,C2,P3,S4,-7.1475,1.1555555555555554,-6.185336538461539
